country,firm,sector,revenue,year,risk
India,NTPC Limited,Energy,45.66,2023,0.43402476514465543
India,Sun Pharmaceutical,Health Care,52.18,2014,-0.11132347650733021
India,Sun Pharmaceutical,Health Care,52.18,2015,-0.74970804338537
India,Sun Pharmaceutical,Health Care,52.18,2017,1.2731183483392534
India,Sun Pharmaceutical,Health Care,52.18,2018,-0.8063769045282871
India,Sun Pharmaceutical,Health Care,52.18,2019,0.5750896809695046
India,Sun Pharmaceutical,Health Care,52.18,2020,0.5677602635550602
India,Sun Pharmaceutical,Health Care,52.18,2022,0.8863145180019545
India,Sun Pharmaceutical,Health Care,52.18,2023,1.2057405747282572
India,Tata Consultancy Services,Information Technology,189.9,2015,-0.374635089148514
India,Tata Consultancy Services,Information Technology,189.9,2016,0.02157422616193563
India,Tata Consultancy Services,Information Technology,189.9,2017,-0.15585444645753643
India,Tata Consultancy Services,Information Technology,189.9,2018,-0.05102879332843126
India,Tata Consultancy Services,Information Technology,189.9,2019,-0.16852259616818263
India,Tata Consultancy Services,Information Technology,189.9,2020,-0.1384522134197448
India,Tata Consultancy Services,Information Technology,189.9,2021,-0.26395448338536176
India,Tata Consultancy Services,Information Technology,189.9,2023,-0.06471458197931425
USA,APPLE,Information Technology,3371.0,2014,1.182428734563689
USA,APPLE,Information Technology,3371.0,2015,1.1083246341947837
USA,APPLE,Information Technology,3371.0,2017,1.2752918416065475
USA,APPLE,Information Technology,3371.0,2019,1.3881657616290561
USA,APPLE,Information Technology,3371.0,2020,1.25098060859553
USA,APPLE,Information Technology,3371.0,2022,1.4112425702980962
USA,APPLE,Information Technology,3371.0,2023,1.360840584656362
USA,Amazon,Information Technology,1761.0,2014,0.17846944465221073
USA,Amazon,Information Technology,1761.0,2015,0.33716963031385155
USA,Amazon,Information Technology,1761.0,2016,0.07359876164685085
USA,Amazon,Information Technology,1761.0,2017,0.0704628118025
USA,Amazon,Information Technology,1761.0,2018,-0.23966584274055613
USA,Amazon,Information Technology,1761.0,2019,0.05385314718978802
USA,Amazon,Information Technology,1761.0,2020,0.15232846046992315
USA,Amazon,Information Technology,1761.0,2021,-0.10463628557796306
USA,Amazon,Information Technology,1761.0,2022,-0.10306879839634561
USA,Amazon,Information Technology,1761.0,2023,0.4937245854052086
USA,Broadcom,Information Technology,669.46,2014,-0.1983184310685553
USA,Broadcom,Information Technology,669.46,2015,0.7367506792426368
USA,Broadcom,Information Technology,669.46,2016,0.4859705878349588
USA,Broadcom,Information Technology,669.46,2018,0.1295565861152455
USA,Broadcom,Information Technology,669.46,2020,0.17536759011721936
USA,Broadcom,Information Technology,669.46,2021,0.1861301242633303
USA,Broadcom,Information Technology,669.46,2022,0.5087742499907367
USA,Broadcom,Information Technology,669.46,2023,0.19843050954894043
USA,Eli Lilly,Health Care,724.33,2014,1.322062911715969
USA,Eli Lilly,Health Care,724.33,2015,1.3053080718669636
USA,Eli Lilly,Health Care,724.33,2017,1.3328203721077039
USA,Eli Lilly,Health Care,724.33,2019,1.3336883366485666
USA,Eli Lilly,Health Care,724.33,2020,1.314227501757624
USA,Eli Lilly,Health Care,724.33,2022,1.5733664370475797
USA,Eli Lilly,Health Care,724.33,2023,1.3475356668208758
